Word,Details,Sources,GregMat_Details,Barron_Details,Kaplan_Details,Magoosh_Details,WordSmart_Details,Source_Files
chortle,"Magoosh GRE 1000 Words: (verb): to chuckle, laugh merrily Walking past the bar, I could hear happy, chortling people and the blast of horns from a jazz band.",Magoosh GRE 1000 Words,,,,"(verb): to chuckle, laugh merrily Walking past the bar, I could hear happy, chortling people and the blast of horns from a jazz band.",,magoosh-gre-1000-words_oct01.pdf
chronic,"Kaplan 900 + High Frequency GRE: constant, lasting a long time | WordSmart I Complete 850 Words: Pronunciation: KRON-ik; English: lasting a long time; Bengali: েীঘসে্থাযী / বচরস্থাযী; Example: He suffered from chronic back pain.",Kaplan 900 + High Frequency GRE; WordSmart I Complete 850 Words,,,"constant, lasting a long time",,Pronunciation: KRON-ik; English: lasting a long time; Bengali: েীঘসে্থাযী / বচরস্থাযী; Example: He suffered from chronic back pain.,WordSmart1_Complete_850Words.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
chronicle,WordSmart I Complete 850 Words: Pronunciation: KRON-ih-kul; English: a record of events in order of time; Bengali: ঘটনার কালানকু ্রবমক বিিরণ / িৃিান ্ত; Example: The book chronicles the rise of the empire.,WordSmart I Complete 850 Words,,,,,Pronunciation: KRON-ih-kul; English: a record of events in order of time; Bengali: ঘটনার কালানকু ্রবমক বিিরণ / িৃিান ্ত; Example: The book chronicles the rise of the empire.,WordSmart1_Complete_850Words.pdf
chronological,Kaplan 900 + High Frequency GRE: Relating to establishment of dates and time sequences,Kaplan 900 + High Frequency GRE,,,Relating to establishment of dates and time sequences,,,ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
churlish,"GregMat Vocab: rude or lacking good manners | Magoosh GRE 1000 Words: (adjective): lacking manners or refinement The manager was unnecessarily churlish to his subordinates, rarely deigning to say hello, but always quick with a sartorial jab if someone happened to be wearing anything even slightly mismatching.",GregMat Vocab; Magoosh GRE 1000 Words,rude or lacking good manners,,,"(adjective): lacking manners or refinement The manager was unnecessarily churlish to his subordinates, rarely deigning to say hello, but always quick with a sartorial jab if someone happened to be wearing anything even slightly mismatching.",,GregMat Vocab.pdf; magoosh-gre-1000-words_oct01.pdf
circuitous,WordSmart I Complete 850 Words: Pronunciation: ser-KYOO-ih- tus; English: roundabout; Bengali: ঘুরপর্ / িক্রপর্; Example: He took a circuitous route to avoid traffic.,WordSmart I Complete 850 Words,,,,,Pronunciation: ser-KYOO-ih- tus; English: roundabout; Bengali: ঘুরপর্ / িক্রপর্; Example: He took a circuitous route to avoid traffic.,WordSmart1_Complete_850Words.pdf
circumlocution,"Kaplan 900 + High Frequency GRE: wordy language, an indirect, roundabout expression | WordSmart I Complete 850 Words: Pronunciation: ser-kum-loh- KYOO-shun; English: an indirect expression; Bengali: ঘুবরনয ছপবাঁচনয িলা; Example: He used circumlocution to avoid answering directly.",Kaplan 900 + High Frequency GRE; WordSmart I Complete 850 Words,,,"wordy language, an indirect, roundabout expression",,Pronunciation: ser-kum-loh- KYOO-shun; English: an indirect expression; Bengali: ঘুবরনয ছপবাঁচনয িলা; Example: He used circumlocution to avoid answering directly.,WordSmart1_Complete_850Words.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
circumscribe,GregMat Vocab: limit or restrict something narrowly | Kaplan 900 + High Frequency GRE: Limit | Magoosh GRE 1000 Words: (verb): restrict or confine Their tour of South America was circumscribed so that they saw only popular destinations and avoided the dangerous parts of cities. | WordSmart I Complete 850 Words: Pronunciation: SER-kum-skryb; English: to restrict; Bengali: সীমািি করা / সীমা বনিারেণ করা; Example: The new law circumscribes the powers of the president.,GregMat Vocab; Kaplan 900 + High Frequency GRE; Magoosh GRE 1000 Words; WordSmart I Complete 850 Words,limit or restrict something narrowly,,Limit,(verb): restrict or confine Their tour of South America was circumscribed so that they saw only popular destinations and avoided the dangerous parts of cities.,Pronunciation: SER-kum-skryb; English: to restrict; Bengali: সীমািি করা / সীমা বনিারেণ করা; Example: The new law circumscribes the powers of the president.,GregMat Vocab.pdf; WordSmart1_Complete_850Words.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf; magoosh-gre-1000-words_oct01.pdf
circumspect,"GregMat Vocab: cautious or wary, especially when considering potential consequences | Kaplan 900 + High Frequency GRE: Cautious | WordSmart I Complete 850 Words: Pronunciation: SER-kum-spekt; English: cautious; Bengali: সতক ে/ সািিান; Example: She was circumspect in sharing personal information.",GregMat Vocab; Kaplan 900 + High Frequency GRE; WordSmart I Complete 850 Words,"cautious or wary, especially when considering potential consequences",,Cautious,,Pronunciation: SER-kum-spekt; English: cautious; Bengali: সতক ে/ সািিান; Example: She was circumspect in sharing personal information.,GregMat Vocab.pdf; WordSmart1_Complete_850Words.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
circumvent,Magoosh GRE 1000 Words: (verb): cleverly find a way out of one's duties or obligations One way of circumventing the GRE is to apply to a grad school that does not require GRE scores. | WordSmart I Complete 850 Words: Pronunciation: ser-kum-VENT; English: to frustrate as though by surrounding; Bengali: এব়েনয যাওযা / ফাঁবক ছেওযা; Example: He found a way to circumvent the security system.,Magoosh GRE 1000 Words; WordSmart I Complete 850 Words,,,,(verb): cleverly find a way out of one's duties or obligations One way of circumventing the GRE is to apply to a grad school that does not require GRE scores.,Pronunciation: ser-kum-VENT; English: to frustrate as though by surrounding; Bengali: এব়েনয যাওযা / ফাঁবক ছেওযা; Example: He found a way to circumvent the security system.,WordSmart1_Complete_850Words.pdf; magoosh-gre-1000-words_oct01.pdf
civil,WordSmart I Complete 850 Words: Pronunciation: SIV-ul; English: polite; Bengali: ভদ ্র/ নাগবরক; Example: Please be civil to your colleagues.,WordSmart I Complete 850 Words,,,,,Pronunciation: SIV-ul; English: polite; Bengali: ভদ ্র/ নাগবরক; Example: Please be civil to your colleagues.,WordSmart1_Complete_850Words.pdf
clamorous,GregMat Vocab: characterized by extremely loud noise,GregMat Vocab,characterized by extremely loud noise,,,,,GregMat Vocab.pdf
clandestine,"GregMat Vocab: secretive; avoiding attention | Barron's 1100 - First 20 Weeks: hidden, secret",GregMat Vocab; Barron's 1100 - First 20 Weeks,secretive; avoiding attention,"hidden, secret",,,,GregMat Vocab.pdf; ilide.info-barron-s-1100-words-first-20-weeks-pr_c3adc3a3c45e7454e0742ab1695ce4a5.pdf
clangor,GregMat Vocab: a disturbingly loud noise,GregMat Vocab,a disturbingly loud noise,,,,,GregMat Vocab.pdf
claque,"Kaplan 900 + High Frequency GRE: an audience paid to clap, an obsequious audience",Kaplan 900 + High Frequency GRE,,,"an audience paid to clap, an obsequious audience",,,ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
clearheaded,Kaplan 900 + High Frequency GRE: Mentally alert,Kaplan 900 + High Frequency GRE,,,Mentally alert,,,ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
clemency,"Kaplan 900 + High Frequency GRE: disposition towards mercy, mildness | Magoosh GRE 1000 Words: (noun): leniency and compassion shown toward offenders by a person or agency charged with administering justice In the final moments of the trial, during his closing speech, Phillips was nearly begging the judge for clemency. | WordSmart I Complete 850 Words: Pronunciation: KLEM-un-see; English: forgiveness; mildness; Bengali: কম্ষা / উোরতা; Example: The judge showed clemency to the first-time offender.",Kaplan 900 + High Frequency GRE; Magoosh GRE 1000 Words; WordSmart I Complete 850 Words,,,"disposition towards mercy, mildness","(noun): leniency and compassion shown toward offenders by a person or agency charged with administering justice In the final moments of the trial, during his closing speech, Phillips was nearly begging the judge for clemency.",Pronunciation: KLEM-un-see; English: forgiveness; mildness; Bengali: কম্ষা / উোরতা; Example: The judge showed clemency to the first-time offender.,WordSmart1_Complete_850Words.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf; magoosh-gre-1000-words_oct01.pdf
clerisy,Kaplan 900 + High Frequency GRE: the intellectual elite,Kaplan 900 + High Frequency GRE,,,the intellectual elite,,,ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
cliche,Kaplan 900 + High Frequency GRE: Phrase dulled in meaning by repetition | WordSmart I Complete 850 Words: Pronunciation: klee-SHAY; English: an overused saying or idea; Bengali: বিনশ / হাজারিার িযিহৃত কর্া; Example: His speech was full of tired clichés.,Kaplan 900 + High Frequency GRE; WordSmart I Complete 850 Words,,,Phrase dulled in meaning by repetition,,Pronunciation: klee-SHAY; English: an overused saying or idea; Bengali: বিনশ / হাজারিার িযিহৃত কর্া; Example: His speech was full of tired clichés.,WordSmart1_Complete_850Words.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
clique,Kaplan 900 + High Frequency GRE: an exclusive group | WordSmart I Complete 850 Words: Pronunciation: KLEEK; English: an exclusive group bound together by some shared quality or interest; Bengali: ছগাষ্ঠী / একনচটটযা েল; Example: The popular kids formed a clique that excluded others.,Kaplan 900 + High Frequency GRE; WordSmart I Complete 850 Words,,,an exclusive group,,Pronunciation: KLEEK; English: an exclusive group bound together by some shared quality or interest; Bengali: ছগাষ্ঠী / একনচটটযা েল; Example: The popular kids formed a clique that excluded others.,WordSmart1_Complete_850Words.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
cloak,GregMat Vocab: conceal or disguise,GregMat Vocab,conceal or disguise,,,,,GregMat Vocab.pdf
clout,"Kaplan 900 + High Frequency GRE: influence, a forceful blow",Kaplan 900 + High Frequency GRE,,,"influence, a forceful blow",,,ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
coalesce,"GregMat Vocab: bring elements together; unite | Kaplan 900 + High Frequency GRE: to come together as one, to fuse or unite | Magoosh GRE 1000 Words: (verb): fuse or cause to grow together Over time, the various tribes coalesced into a single common culture with one universal language. | WordSmart I Complete 850 Words: Pronunciation: koh-uh-LES; English: to unite; Bengali: একত্ত্বত হওযা / বমবলত হওযা; Example: The two parties coalesced to form a majority.",GregMat Vocab; Kaplan 900 + High Frequency GRE; Magoosh GRE 1000 Words; WordSmart I Complete 850 Words,bring elements together; unite,,"to come together as one, to fuse or unite","(verb): fuse or cause to grow together Over time, the various tribes coalesced into a single common culture with one universal language.",Pronunciation: koh-uh-LES; English: to unite; Bengali: একত্ত্বত হওযা / বমবলত হওযা; Example: The two parties coalesced to form a majority.,GregMat Vocab.pdf; WordSmart1_Complete_850Words.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf; magoosh-gre-1000-words_oct01.pdf
coddle,GregMat Vocab: pamper or treat with excessive care,GregMat Vocab,pamper or treat with excessive care,,,,,GregMat Vocab.pdf
coerce,Barron's 1100 - First 20 Weeks: to force | WordSmart I Complete 850 Words: Pronunciation: koh-ERS; English: to force someone to do or not to do something; Bengali: ছজার করা / িািয করা; Example: He coerced his employees into working overtime.,Barron's 1100 - First 20 Weeks; WordSmart I Complete 850 Words,,to force,,,Pronunciation: koh-ERS; English: to force someone to do or not to do something; Bengali: ছজার করা / িািয করা; Example: He coerced his employees into working overtime.,WordSmart1_Complete_850Words.pdf; ilide.info-barron-s-1100-words-first-20-weeks-pr_c3adc3a3c45e7454e0742ab1695ce4a5.pdf
coercion,GregMat Vocab: the act of persuading or forcing someone to do something using threats or violence,GregMat Vocab,the act of persuading or forcing someone to do something using threats or violence,,,,,GregMat Vocab.pdf
cogent,GregMat Vocab: persuasive and clear; compelling | Magoosh GRE 1000 Words: (adjective): clear and persuasive A cogent argument will change the minds of even the most skeptical audience. | WordSmart I Complete 850 Words: Pronunciation: KOH-junt; English: powerfully convincing; Bengali: শত্ত্বক্তশালী যুত্ত্বক্তপূণ /ে বিশ্বাসনযাগয; Example: She made a cogent argument for the new policy.,GregMat Vocab; Magoosh GRE 1000 Words; WordSmart I Complete 850 Words,persuasive and clear; compelling,,,(adjective): clear and persuasive A cogent argument will change the minds of even the most skeptical audience.,Pronunciation: KOH-junt; English: powerfully convincing; Bengali: শত্ত্বক্তশালী যুত্ত্বক্তপূণ /ে বিশ্বাসনযাগয; Example: She made a cogent argument for the new policy.,GregMat Vocab.pdf; WordSmart1_Complete_850Words.pdf; magoosh-gre-1000-words_oct01.pdf
cogitate,"GregMat Vocab: think deeply; ponder or reflect | Kaplan 900 + High Frequency GRE: to ponder over, to mediate, to think",GregMat Vocab; Kaplan 900 + High Frequency GRE,think deeply; ponder or reflect,,"to ponder over, to mediate, to think",,,GregMat Vocab.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
cognitive,WordSmart I Complete 850 Words: Pronunciation: KOG-nih-tiv; English: dealing with how we know the world around us through our senses; Bengali: জ্ঞানসংক্রান্ত / অনুভূবতগত; Example: Regular exercise improves cognitive function.,WordSmart I Complete 850 Words,,,,,Pronunciation: KOG-nih-tiv; English: dealing with how we know the world around us through our senses; Bengali: জ্ঞানসংক্রান্ত / অনুভূবতগত; Example: Regular exercise improves cognitive function.,WordSmart1_Complete_850Words.pdf
cognizant,Barron's 1100 - First 20 Weeks: aware | WordSmart I Complete 850 Words: Pronunciation: KOG-nih-zunt; English: aware; conscious; Bengali: সনচতন / অিগত; Example: She was fully cognizant of the risks involved.,Barron's 1100 - First 20 Weeks; WordSmart I Complete 850 Words,,aware,,,Pronunciation: KOG-nih-zunt; English: aware; conscious; Bengali: সনচতন / অিগত; Example: She was fully cognizant of the risks involved.,WordSmart1_Complete_850Words.pdf; ilide.info-barron-s-1100-words-first-20-weeks-pr_c3adc3a3c45e7454e0742ab1695ce4a5.pdf
coherent,"Kaplan 900 + High Frequency GRE: making sense, organize and logical | WordSmart I Complete 850 Words: Pronunciation: koh-HEER-unt; English: holding together; making sense; Bengali: সুসংগত / যুত্ত্বক্তসংগত; Example: Please give a coherent explanation of what happened.",Kaplan 900 + High Frequency GRE; WordSmart I Complete 850 Words,,,"making sense, organize and logical",,Pronunciation: koh-HEER-unt; English: holding together; making sense; Bengali: সুসংগত / যুত্ত্বক্তসংগত; Example: Please give a coherent explanation of what happened.,WordSmart1_Complete_850Words.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
cohesive,"Magoosh GRE 1000 Words: (adjective): well integrated, forming a united whole A well-written, cohesive essay will keep on topic at all times, never losing sight of the main argument.",Magoosh GRE 1000 Words,,,,"(adjective): well integrated, forming a united whole A well-written, cohesive essay will keep on topic at all times, never losing sight of the main argument.",,magoosh-gre-1000-words_oct01.pdf
coin,GregMat Vocab: invent or devise a new word or phrase,GregMat Vocab,invent or devise a new word or phrase,,,,,GregMat Vocab.pdf
collaborate,GregMat Vocab: 1. work together on a project 2. cooperate deviously with an enemy,GregMat Vocab,1. work together on a project 2. cooperate deviously with an enemy,,,,,GregMat Vocab.pdf
colloquial,"Kaplan 900 + High Frequency GRE: conversational, used in informal speech | WordSmart I Complete 850 Words: Pronunciation: kuh-LOH-kwee- ul; English: informal in language; Bengali: কর্যভাষায / অনানুষ্ঠাবনক; Example: The essay was too colloquial for an academic submission.",Kaplan 900 + High Frequency GRE; WordSmart I Complete 850 Words,,,"conversational, used in informal speech",,Pronunciation: kuh-LOH-kwee- ul; English: informal in language; Bengali: কর্যভাষায / অনানুষ্ঠাবনক; Example: The essay was too colloquial for an academic submission.,WordSmart1_Complete_850Words.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
collude,GregMat Vocab: secretly cooperate for deceitful or fraudulent purposes | Kaplan 900 + High Frequency GRE: Secret plan or understanding for harmful purpose,GregMat Vocab; Kaplan 900 + High Frequency GRE,secretly cooperate for deceitful or fraudulent purposes,,Secret plan or understanding for harmful purpose,,,GregMat Vocab.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
collusion,"Kaplan 900 + High Frequency GRE: Conspiring (make secret plans) a scheme to cheat or deceive others | Magoosh GRE 1000 Words: (noun): agreement on a secret plot Many have argued that Lee Harvey Oswald, JFK's assassin, was in collusion with other criminals; others maintain that Oswald was a lone gunman. | WordSmart I Complete 850 Words: Pronunciation: kuh-LOO-zhun; English: secret cooperation; Bengali: ছগাপন ষ়েযন ্ত্র/ অসাি ু সহনযাবগতা; Example: The two companies were found guilty of collusion.",Kaplan 900 + High Frequency GRE; Magoosh GRE 1000 Words; WordSmart I Complete 850 Words,,,Conspiring (make secret plans) a scheme to cheat or deceive others,"(noun): agreement on a secret plot Many have argued that Lee Harvey Oswald, JFK's assassin, was in collusion with other criminals; others maintain that Oswald was a lone gunman.",Pronunciation: kuh-LOO-zhun; English: secret cooperation; Bengali: ছগাপন ষ়েযন ্ত্র/ অসাি ু সহনযাবগতা; Example: The two companies were found guilty of collusion.,WordSmart1_Complete_850Words.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf; magoosh-gre-1000-words_oct01.pdf
colossal,"Magoosh GRE 1000 Words: (adjective): so great in size or force or extent as to elicit awe Few appreciate the colossal scale of the sun: if hollow, it could contain a million Earths.",Magoosh GRE 1000 Words,,,,"(adjective): so great in size or force or extent as to elicit awe Few appreciate the colossal scale of the sun: if hollow, it could contain a million Earths.",,magoosh-gre-1000-words_oct01.pdf
comity,GregMat Vocab: a courteous harmony or mutual respect toward others,GregMat Vocab,a courteous harmony or mutual respect toward others,,,,,GregMat Vocab.pdf
commence,GregMat Vocab: begin or start,GregMat Vocab,begin or start,,,,,GregMat Vocab.pdf
commendable,Magoosh GRE 1000 Words: (adjective): worthy of high praise The efforts of the firefighters running into the burning building were commendable.,Magoosh GRE 1000 Words,,,,(adjective): worthy of high praise The efforts of the firefighters running into the burning building were commendable.,,magoosh-gre-1000-words_oct01.pdf
commensurate,"GregMat Vocab: comparable in size, extent, or degree; proportionate | Kaplan 900 + High Frequency GRE: Equal in extent, of the same size | Magoosh GRE 1000 Words: (adjective): to be in proportion or corresponding in degree or amount The convicted felon's life sentence was commensurate to the heinousness of his crime. | WordSmart I Complete 850 Words: Pronunciation: kuh-MEN-sur-it; English: proportionate; equal; Bengali: সমানুপাবতক / সামঞ্জসযপূণ ে; Example: His salary should be commensurate with his experience.",GregMat Vocab; Kaplan 900 + High Frequency GRE; Magoosh GRE 1000 Words; WordSmart I Complete 850 Words,"comparable in size, extent, or degree; proportionate",,"Equal in extent, of the same size",(adjective): to be in proportion or corresponding in degree or amount The convicted felon's life sentence was commensurate to the heinousness of his crime.,Pronunciation: kuh-MEN-sur-it; English: proportionate; equal; Bengali: সমানুপাবতক / সামঞ্জসযপূণ ে; Example: His salary should be commensurate with his experience.,GregMat Vocab.pdf; WordSmart1_Complete_850Words.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf; magoosh-gre-1000-words_oct01.pdf
commiserate,"GregMat Vocab: express sympathy or sorrow with someone who has experienced misfortune | Kaplan 900 + High Frequency GRE: Feel, express pity or sympathy for",GregMat Vocab; Kaplan 900 + High Frequency GRE,express sympathy or sorrow with someone who has experienced misfortune,,"Feel, express pity or sympathy for",,,GregMat Vocab.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
commonplace,Kaplan 900 + High Frequency GRE: Ordinary,Kaplan 900 + High Frequency GRE,,,Ordinary,,,ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
compatible,Kaplan 900 + High Frequency GRE: able to get along well,Kaplan 900 + High Frequency GRE,,,able to get along well,,,ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
compelling,GregMat Vocab: 1. persuasive and clear 2. attracting interest; fascinating | WordSmart I Complete 850 Words: Pronunciation: kum-PEL-ing; English: forceful; Bengali: িািযকারী / আকষণেীয; Example: She made a compelling case for expanding the project.,GregMat Vocab; WordSmart I Complete 850 Words,1. persuasive and clear 2. attracting interest; fascinating,,,,Pronunciation: kum-PEL-ing; English: forceful; Bengali: িািযকারী / আকষণেীয; Example: She made a compelling case for expanding the project.,GregMat Vocab.pdf; WordSmart1_Complete_850Words.pdf
compendium,"Kaplan 900 + High Frequency GRE: Brief, comprehensive summery | WordSmart I Complete 850 Words: Pronunciation: kum-PEN-dee- um; English: a summary; Bengali: সংবকপ্ষ্ত সার / সংগহ্র; Example: The book is a compendium of world history.",Kaplan 900 + High Frequency GRE; WordSmart I Complete 850 Words,,,"Brief, comprehensive summery",,Pronunciation: kum-PEN-dee- um; English: a summary; Bengali: সংবকপ্ষ্ত সার / সংগহ্র; Example: The book is a compendium of world history.,WordSmart1_Complete_850Words.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
competent,"GregMat Vocab: having sufficient skill, knowledge, ability, or qualifications",GregMat Vocab,"having sufficient skill, knowledge, ability, or qualifications",,,,,GregMat Vocab.pdf
complacent,"GregMat Vocab: smugly self-satisfied, often without awareness of potential dangers | Magoosh GRE 1000 Words: (adjective): contented to a fault with oneself or one's actions After the water polo team won their sixth championship, they became complacent and didn't even make it to the playoffs the next year. | WordSmart I Complete 850 Words: Pronunciation: kum-PLAY-sunt; English: overly pleased with oneself; Bengali: আতত্মুষ্ট / বননজর প্রবত অবতবরক্ত সন্তুষ ্ট; Example: He became complacent after early success and stopped improving.",GregMat Vocab; Magoosh GRE 1000 Words; WordSmart I Complete 850 Words,"smugly self-satisfied, often without awareness of potential dangers",,,"(adjective): contented to a fault with oneself or one's actions After the water polo team won their sixth championship, they became complacent and didn't even make it to the playoffs the next year.",Pronunciation: kum-PLAY-sunt; English: overly pleased with oneself; Bengali: আতত্মুষ্ট / বননজর প্রবত অবতবরক্ত সন্তুষ ্ট; Example: He became complacent after early success and stopped improving.,GregMat Vocab.pdf; WordSmart1_Complete_850Words.pdf; magoosh-gre-1000-words_oct01.pdf
complaisant,"Magoosh GRE 1000 Words: (adjective): showing a cheerful willingness to do favors for others On her first day at the job, Annie was complaisant, fulfilling every request of her new employee and anticipating future requests.",Magoosh GRE 1000 Words,,,,"(adjective): showing a cheerful willingness to do favors for others On her first day at the job, Annie was complaisant, fulfilling every request of her new employee and anticipating future requests.",,magoosh-gre-1000-words_oct01.pdf
complement,WordSmart I Complete 850 Words: Pronunciation: KOM-pluh-ment; English: to be the perfect counterpart; Bengali: পবরপূরক হওযা; Example: Red wine complements red meat perfectly.,WordSmart I Complete 850 Words,,,,,Pronunciation: KOM-pluh-ment; English: to be the perfect counterpart; Bengali: পবরপূরক হওযা; Example: Red wine complements red meat perfectly.,WordSmart1_Complete_850Words.pdf
complementary,"GregMat Vocab: enhancing or perfecting when combined with something else | Magoosh GRE 1000 Words: (adjective): enhancing each other's qualities (for two things or more). The head waiter was careful to tell the amateur diners that red wine was complementary with beef, each bringing out subtle taste notes in the other.",GregMat Vocab; Magoosh GRE 1000 Words,enhancing or perfecting when combined with something else,,,"(adjective): enhancing each other's qualities (for two things or more). The head waiter was careful to tell the amateur diners that red wine was complementary with beef, each bringing out subtle taste notes in the other.",,GregMat Vocab.pdf; magoosh-gre-1000-words_oct01.pdf
compliant,Kaplan 900 + High Frequency GRE: Acting in accordance with rule,Kaplan 900 + High Frequency GRE,,,Acting in accordance with rule,,,ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
complicit,"Magoosh GRE 1000 Words: (adjective): Associated with or participating in an activity, especially one of a questionable nature. While the grand jury cleared the senator of all criminal charges, in the public mind he was still complicit in the corruption.",Magoosh GRE 1000 Words,,,,"(adjective): Associated with or participating in an activity, especially one of a questionable nature. While the grand jury cleared the senator of all criminal charges, in the public mind he was still complicit in the corruption.",,magoosh-gre-1000-words_oct01.pdf
complicity,Barron's 1100 - First 20 Weeks: partnership in wrongdoing | WordSmart I Complete 850 Words: Pronunciation: kum-PLIS-ih-tee; English: participation in wrongdoing; Bengali: অপকনম অে ংশগহ্রণ / সহনযাবগতা; Example: His complicity in the crime was proven in court.,Barron's 1100 - First 20 Weeks; WordSmart I Complete 850 Words,,partnership in wrongdoing,,,Pronunciation: kum-PLIS-ih-tee; English: participation in wrongdoing; Bengali: অপকনম অে ংশগহ্রণ / সহনযাবগতা; Example: His complicity in the crime was proven in court.,WordSmart1_Complete_850Words.pdf; ilide.info-barron-s-1100-words-first-20-weeks-pr_c3adc3a3c45e7454e0742ab1695ce4a5.pdf
comply,GregMat Vocab: obey someone's rules or wishes; meet certain standards,GregMat Vocab,obey someone's rules or wishes; meet certain standards,,,,,GregMat Vocab.pdf
component,"Barron's 1100 - First 20 Weeks: element, part",Barron's 1100 - First 20 Weeks,,"element, part",,,,ilide.info-barron-s-1100-words-first-20-weeks-pr_c3adc3a3c45e7454e0742ab1695ce4a5.pdf
comport,Kaplan 900 + High Frequency GRE: to behave,Kaplan 900 + High Frequency GRE,,,to behave,,,ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
compound,"Barron's 1100 - First 20 Weeks: to add to | Magoosh GRE 1000 Words: (verb): make more intense, stronger, or more marked Her headache was compounded by the construction crew outside, which had six jackhammers going at the same time.",Barron's 1100 - First 20 Weeks; Magoosh GRE 1000 Words,,to add to,,"(verb): make more intense, stronger, or more marked Her headache was compounded by the construction crew outside, which had six jackhammers going at the same time.",,ilide.info-barron-s-1100-words-first-20-weeks-pr_c3adc3a3c45e7454e0742ab1695ce4a5.pdf; magoosh-gre-1000-words_oct01.pdf
comprehensive,Barron's 1100 - First 20 Weeks: thorough | WordSmart I Complete 850 Words: Pronunciation: kom-prih-HEN- siv; English: including everything; Bengali: িযাপক / সিািে ীণ; Example: The doctor conducted a comprehensive health checkup.,Barron's 1100 - First 20 Weeks; WordSmart I Complete 850 Words,,thorough,,,Pronunciation: kom-prih-HEN- siv; English: including everything; Bengali: িযাপক / সিািে ীণ; Example: The doctor conducted a comprehensive health checkup.,WordSmart1_Complete_850Words.pdf; ilide.info-barron-s-1100-words-first-20-weeks-pr_c3adc3a3c45e7454e0742ab1695ce4a5.pdf
comprise,WordSmart I Complete 850 Words: Pronunciation: kum-PRY Z; English: to consist of; Bengali: গট ত হওযা / অনভ্তুকে ্ত করা; Example: The committee comprises ten members.,WordSmart I Complete 850 Words,,,,,Pronunciation: kum-PRY Z; English: to consist of; Bengali: গট ত হওযা / অনভ্তুকে ্ত করা; Example: The committee comprises ten members.,WordSmart1_Complete_850Words.pdf
compromise,"GregMat Vocab: weaken or diminish in quality, character, or value",GregMat Vocab,"weaken or diminish in quality, character, or value",,,,,GregMat Vocab.pdf
compunction,Kaplan 900 + High Frequency GRE: Strong uneasiness caused by guilt,Kaplan 900 + High Frequency GRE,,,Strong uneasiness caused by guilt,,,ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
